Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Excel in the Real World,"Excel is more than just a number cruncher. It's a Swiss Army knife that helps you work with data from anywhere—numbers, dates, times, text, and more. In this short course, Microsoft MVP Oz du Soleil shows how Excel can help solve real-world problems featuring any kind of information. Learn how Excel can be used in interesting, out-of-the-box ways: to manage property, calculate prices for a new product, simplify music arrangements, keep your kids on top of their chores, or even build seating charts for an event. There's nothing Excel can't do. So make it do more for you.",Course,2020-04-27 22:06 UTC,N/A,false,N/A,
Using Docker and .NET Core,"Why use containers with your .NET Core applications? When you write an application, you have to consider the application code, frameworks, packages, and the underlying operating system itself. Using Docker allows you to encapsulate everything you need to run an application, with all its dependencies, in one nice, neat package that you can replicate on any machine or workstation, as many times as you need. In this course, Shayne Boyer and Lisa Guthrie start with the very basics of Docker, covering the concepts and practical uses, then move on to integrating Docker with Visual Studio to help you containerize your apps with just a few clicks. Finally, Shayne and Lisa show you a simple way to publish your containerized web app.",Course,2021-05-16 12:58 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-01-08 01:06 UTC,N/A,false,N/A,
"Advanced Cisco Routing: RIPv2, EIGRP, and OSPF","Routing dictates how your organization's information (and the rest of the world's) gets from point A to point B. And it's the responsibility of network professionals to get routing right. So join Lazaro Diaz, as he takes you through advanced topics and techniques in Cisco routing, from configuring RIPv2 routes for smaller networks, to EIGRP, advanced distance routing, and OSPF, a more complex protocol that brings many more features and greater flexibility to your network. You'll be able to practice configuring all of these protocols using the Packet Tracer demo environment and Lazaro's detailed tutorials.",Course,2018-10-28 13:21 UTC,N/A,false,N/A,
Mindfulness for Beginners,"What if you could profoundly change your life by becoming more mindful? What if paying attention on purpose could improve your health? In <i>Mindfulness for Beginners</i>, Jon Kabat-Zinn—the scientist, bestselling author, and teacher who brought mindfulness meditation into the mainstream—gives you immediate access to a practice that can potentially add years to your life and enhance the quality of every day. Explore five guided meditations based on Mindfulness-Based Stress Reduction (MBSR), a program offered in medical clinics and hospitals around the world. Cultivate the seven key attitudinal factors of MBSR—qualities of heart and mind that lay the foundation for mindfulness. Use these lessons to free yourself from limiting perspectives and become more intimate with your own boundless awareness.<br><br>

This course was created by Sounds True. We are pleased to offer this training in our library.",Course,2020-11-23 13:39 UTC,N/A,false,N/A,
PHP: Design Patterns,"Write better PHP code by following these popular (and time-tested) design patterns. Developer Keith Casey introduces 11 design patterns that will help you solve common coding challenges and make your intentions clear to future architects of your application. Keith explores use cases for:<br><br><ul>

<li>Accessing data with the active record and table data gateway patterns</li>
<li>Creating objects with the factory, singleton, and mock objects patterns</li>
<li>Extending code with decorator and adapter patterns</li>
<li>Structuring applications with MVC and Action-Domain-Responder patterns</li></ul><br><br>

Each chapter features a design pattern in a real-world coding scenario, and closes with a practice challenge to test your new skills.",Course,2020-04-09 16:24 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2021-04-11 14:24 UTC,N/A,false,N/A,
C#: Design Patterns Part 1,"Design patterns are an important part of programming. Rather than programming solutions to every issue from scratch, developers can implement these patterns that solve common problems. In this course, instructor Richard Goforth explains the purpose and effective use of key design patterns in C#. Richard begins by discussing why design patterns make sense, what they are, and how they are grouped and categorized. He then provides an overview of the creational, behavioral, and structural Gang of Four design patterns and how they are applied in C# and .NET. Next, he takes a deeper dive into the Iterator, Factory Method, and Adapter patterns, providing hands-on challenges that help you master the application of these patterns in your own code.",Course,2021-02-25 02:28 UTC,N/A,false,N/A,
HTML5 Game Development with Phaser,"Phaser is a cross-platform game development framework for both mobile and desktop games. This fast, fun, and <em>free</em> framework supports both JavaScript and TypeScript, targeting the open web via HTML5 Canvas. This course shows you how to put Phaser to work: creating a multistate game that can be played on both desktop browsers and mobile devices. After you gather your assets, author Joseph Labrecque will help you start a new game project with the Brackets code editor, create a basic preloader and menu states, and then start building game entities and layering in functionality with Phaser's sprites, groups, animations, tweens, emitters, and physics. He'll also show you how to provide feedback to the player and add sound effects for a more immersive gaming experience. When you're done, Joseph shows you how to prep the game for a mobile launch.",Course,2020-04-01 18:03 UTC,N/A,false,N/A,
C#: Advanced Practices,"In this course, instructor Mika Dumont introduces you to C# advanced practices. Mika begins by defining LINQ and showing you how LINQ makes it easy to query any data source. She walks you through how LINQ composes queries written in multiple statements, or even multiple methods, into a single query operation. Mika covers how LINQ works with Entity Framework to query SQL data sources. She describes how async features make it easy to write code that describes what your code does. She goes into how the Task class helps you organize asynchronous algorithms in logical ways. She steps you through how to recover and process asynchronous error conditions from faulted tasks. Mika concludes by explaining the similarities and differences between asynchronous operations and multithreaded, how you can apply similar techniques in both contexts, and how asynchronous operations may be single-threaded.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2021-05-04 23:46 UTC,N/A,false,N/A,
